94789KJFK JFK20190601024511206/01/19 02:45:31  5-MIN KJFK 010745Z 03003KT 10SM BKN250 18/17 A2979 140 90 600 040/03 RMK AO2 SLP087 T01830167
94789KJFK JFK20190601025011206/01/19 02:50:31  5-MIN KJFK 010750Z 00000KT 10SM BKN250 18/17 A2980 130 93 500 000/00 RMK AO2 SLP089 T01780167
94789KJFK JFK20190601025510206/01/19 02:55:31  5-MIN KJFK 010755Z 00000KT 10SM CLR 17/16 A2980 130 93 500 000/00 RMK AO2 T01720161
94789KJFK JFK20190601030010206/01/19 03:00:31  5-MIN KJFK 010800Z 00000KT 10SM CLR 18/16 A2980 130 90 500 000/00 RMK AO2 T01780161
94789KJFK JFK20190601030510206/01/19 03:05:31  5-MIN KJFK 010805Z 01003KT 10SM CLR 18/16 A2981 120 87 600 020/03 RMK AO2 T01830161
94789KJFK JFK20190601031010206/01/19 03:10:31  5-MIN KJFK 010810Z 02004KT 10SM CLR 18/16 A2981 120 87 600 030/04 RMK AO2 T01830161
94789KJFK JFK20190601031510206/01/19 03:15:31  5-MIN KJFK 010815Z 02004KT 10SM CLR 18/16 A2981 120 87 600 030/04 RMK AO2 T01830161
94789KJFK JFK20190601032010206/01/19 03:20:31  5-MIN KJFK 010820Z 01005KT 10SM CLR 18/16 A2981 120 90 500 030/05 RMK AO2 T01780161
94789KJFK JFK20190601032510206/01/19 03:25:31  5-MIN KJFK 010825Z 01005KT 10SM CLR 18/16 A2981 120 90 500 020/05 RMK AO2 T01780161
94789KJFK JFK20190601033010206/01/19 03:30:31  5-MIN KJFK 010830Z 01005KT 10SM CLR 18/16 A2981 120 90 500 020/05 RMK AO2 T01780161
94789KJFK JFK20190601033510206/01/19 03:35:31  5-MIN KJFK 010835Z 36006KT 10SM CLR 18/16 A2981 110 90 500 020/06 RMK AO2 T01780161
94789KJFK JFK20190601034010506/01/19 03:40:31  5-MIN KJFK 010840Z 01006KT 10SM BKN250 18/16 A2981 110 90 500 020/06 RMK AO2 T01780161
94789KJFK JFK20190601034511806/01/19 03:45:31  5-MIN KJFK 010845Z 02007KT 10SM BKN250 18/16 A2981 120 90 500 030/07 RMK AO2 SLP095 T01780161 58003
94789KJFK JFK20190601035011806/01/19 03:50:31  5-MIN KJFK 010850Z 02008KT 10SM BKN250 18/16 A2981 120 90 500 030/08 RMK AO2 SLP094 T01780161 58003
94789KJFK JFK20190601035510206/01/19 03:55:31  5-MIN KJFK 010855Z 01008KT 10SM CLR 18/16 A2981 120 90 500 030/08 RMK AO2 T01780161
94789KJFK JFK20190601040010206/01/19 04:00:31  5-MIN KJFK 010900Z 02009KT 10SM CLR 18/16 A2981 120 90 500 030/09 RMK AO2 T01780161
