stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 00:00:00.000000,2837,2019,8,10,0,0,0,0,201908092330,201908100000,6.333541,0.2787391,8,18000,66.54842,8,0.09795865,0.04897933,8,18000,-3.041004,8,18000,0.1269796,3,-0.04569612,0.3291925,0.007760063,1.426512,-0.003118427,-2886.071,409.1407,5.354206,719.1237,9.149285,0.9764932,20.50923,0.3810307,14.7567,0.2740558,0.961155,100.4885,0.007152087,23.39636,0.3083501,69.91251,17.58784,2.01951,2.889936,8.704257,12.73891,1156.992,1.166869,1.171748,1015.939,2445.667,2.714681,2.516735,9.501874,234.8061,326.6939,21.87255,2.516754,1.274195,0,0.9824089,-9.313226e-10,0.5141253,25.30963,0.3007504,-23.91224,-0.5296863,16.32982,-1.171909,394.8607,436.2747,24.49757,298.9983,267.0408,NAN,NAN,NAN,NAN,NAN,1000,97.80009,276.4973,140.0693,105.9129,900,99.09578,Kljun et al,201.5,0.2002325,0,326.6939,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 00:30:00.000000,2838,2019,8,10,0,30,0,0,201908100000,201908100030,3.978888,0.1751109,7,18000,29.4231,7,0.04332991,0.02166495,7,18000,-14.72886,7,18000,0.03644625,1,-0.5005882,0.1764655,0.07021905,0.2100258,0.2407171,37.38829,416.6517,6.247221,731.7463,10.53648,0.9755427,19.91252,0.4837301,14.31632,0.3570156,0.9604047,100.5072,0.005167009,23.85874,0.3700188,66.09489,17.13116,1.962255,2.971742,10.09487,12.89061,1156.081,0.9424271,1.170398,1015.596,2444.574,1.943842,1.904023,3.476039,269.2785,292.2215,11.59307,1.905107,0.4549409,0,0.3921382,0,0.2435326,25.71982,0.3320629,-71.98329,0,-3.089739,1.46544,361.4645,428.8926,23.23073,296.5409,266.3034,NAN,NAN,NAN,NAN,NAN,149.3351,72.06957,3139.447,341.3112,202.7761,900,75.84274,KormannMeixner,201.5,-1.930872,0,292.2215,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 01:00:00.000000,2839,2019,8,10,1,0,0,0,201908100030,201908100100,9.257876,0.4074391,9,18000,44.37229,9,0.06541782,0.03270891,9,18000,-14.5532,9,18000,0.02330299,9,-0.3279794,0.1413006,0.08698897,0.2693118,0.4281953,21.01845,423.6474,5.098929,742.8852,8.95943,0.9746929,17.90647,1.009084,12.8539,0.7248539,0.9595557,100.5429,0.01198187,25.0124,0.3490764,55.62968,15.48337,1.76859,3.184144,14.15554,12.06013,1154.288,0.3464955,1.167142,1014.44,2441.846,2.226931,2.171767,4.061384,298.3076,263.1924,12.74855,2.173113,0.5036627,0,0.4746084,0,0.2443243,26.6943,0.2612756,-68.25894,0,-0.5621086,5.142518,364.3085,426.8628,22.87972,296.2016,265.645,NAN,NAN,NAN,NAN,NAN,131.5418,132.1453,7045.378,679.7191,394.4243,900,61.76689,KormannMeixner,201.5,-2.019135,0,263.1924,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 01:30:00.000000,2840,2019,8,10,1,30,0,0,201908100100,201908100130,8.975421,0.3950083,1,18000,29.55797,1,0.043601,0.0218005,1,18000,-18.02252,1,18000,0.04909683,1,-0.6097348,0.2051514,0.07434538,0.284433,0.1920537,46.8619,417.172,3.895377,732.3326,6.841683,0.9741992,15.30457,0.7146195,10.99807,0.5106765,0.959052,100.5862,0.01148222,25.57701,0.2046031,46.07683,13.11123,1.516167,3.292479,17.76312,10.23681,1155.554,0.5916457,1.166553,1012.938,2440.51,2.755119,2.719109,4.72753,304.8029,256.6971,9.260332,2.720483,0.533416,0,0.4410834,-7.450581e-09,0.2996311,27.01944,0.1570801,-67.89603,0,-0.516619,4.978009,365.3142,427.7156,23.02745,296.8455,264.5219,NAN,NAN,NAN,NAN,NAN,159.6325,103.1869,343.2701,154.9738,116.3913,900,94.35772,Kljun et al,201.5,-1.819415,0,256.6971,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 02:00:00.000000,2841,2019,8,10,2,0,0,0,201908100130,201908100200,7.268146,0.3198711,1,18000,13.68622,2,0.02018639,0.0100932,2,18000,-13.04221,1,18000,0.0265686,1,-0.9529446,0.1508542,0.07312715,0.2118305,0.3639246,24.7304,420.6589,3.786271,739.2728,6.832348,0.9740033,14.81465,0.1780482,10.65796,0.1322743,0.9588364,100.6117,0.006344242,25.46666,0.1785063,44.91362,12.63899,1.468766,3.27093,18.02164,9.150222,1156.833,0.5620894,1.167491,1012.654,2440.771,2.555351,2.526475,4.113634,304.7752,256.7248,8.610383,2.527605,0.4695273,0,0.3845106,7.450581e-09,0.2352802,26.86284,0.1649979,-72.21513,0,-1.718169,4.154913,358.8459,425.188,22.58886,296.9058,264.1075,NAN,NAN,NAN,NAN,NAN,135.5765,145.4408,7799.194,749.8434,434.7969,900,59.4822,KormannMeixner,201.5,-1.712383,0,256.7248,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 02:30:00.000000,2842,2019,8,10,2,30,0,0,201908100200,201908100230,6.104944,0.2686786,9,18000,8.590761,9,0.01266663,0.006333315,9,18000,-12.67793,9,18000,0.02490298,9,-1.475763,0.1459684,0.07336981,0.1849867,0.4001997,22.48877,424.6363,4.95774,746.9457,8.9063,0.9740811,15.12566,0.1288871,10.89163,0.09580822,0.9589207,100.6176,0.006761849,25.11984,0.1427872,46.79689,12.95284,1.499231,3.204093,17.04863,9.290791,1157.891,0.4878097,1.168783,1012.834,2441.592,2.55808,2.528723,4.168482,308.1023,253.3977,8.677386,2.531336,0.4196117,0,0.3815138,0,0.2198785,26.54343,0.1351057,-72.93498,0,-2.079761,3.967634,355.9661,422.8537,22.1821,296.6106,264.1482,NAN,NAN,NAN,NAN,NAN,133.14,155.5385,8552.212,810.1105,468.4093,900,57.60773,KormannMeixner,201.5,-2.602699,0,253.3977,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 03:00:00.000000,2843,2019,8,10,3,0,0,0,201908100230,201908100300,5.811327,0.2557565,1,18000,10.60922,1,0.01564003,0.007820015,1,18000,-9.580153,1,18000,0.0242461,2,-0.9030023,0.1439862,0.056166,0.1552373,0.3062172,29.3909,424.3226,4.042632,746.7779,7.271742,0.9742194,15.28475,0.1294882,11.01186,0.09632636,0.9590489,100.6247,0.002621061,24.94028,0.1348914,47.79384,13.11153,1.514867,3.169981,16.55114,9.422535,1158.488,0.4043584,1.1695,1012.926,2442.016,2.624711,2.597403,3.620329,296.6811,264.8189,8.261972,2.599562,0.3622328,0,0.3771043,-7.450581e-09,0.1924954,26.37785,0.1248663,-72.43111,0,-1.524002,4.502545,354.2298,420.6344,21.79391,296.2662,264.2193,NAN,NAN,NAN,NAN,NAN,140.6423,156.4871,8265.352,801.8074,465.754,900,57.8824,KormannMeixner,201.5,-2.333266,0,264.8189,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 03:30:00.000000,2844,2019,8,10,3,30,0,0,201908100300,201908100330,4.033473,0.1775132,5,18000,8.155489,5,0.0120198,0.006009901,5,18000,-5.781288,5,18000,0.01528781,1,-0.708883,0.11429,0.04266369,0.1063241,0.362012,24.86106,426.1199,3.647033,750.4135,6.635739,0.9744965,15.49153,0.1436083,11.16787,0.1066075,0.9593218,100.6228,0.001905464,24.68672,0.1513501,49.16903,13.31384,1.53502,3.122387,15.87367,9.551101,1159.217,0.4755045,1.170385,1013.046,2442.616,2.486629,2.473801,3.494126,292.5358,268.9642,5.817596,2.47619,0.3579512,0,0.2530817,0,0.1430688,26.14233,0.1415303,-72.90854,0,-2.289539,3.915869,351.9429,418.6461,21.44463,296.2552,264.265,NAN,NAN,NAN,NAN,NAN,135.7185,207.7629,11955.78,1102.366,634.1183,900,49.75013,KormannMeixner,201.5,-2.519161,0,268.9642,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 04:00:00.000000,2845,2019,8,10,4,0,0,0,201908100330,201908100400,10.06529,0.4429734,1,18000,20.921,2,0.03082606,0.01541303,2,18000,-16.07161,1,18000,0.04285523,1,-0.7682048,0.1912427,0.07082167,0.2740023,0.216436,41.58274,421.3434,4.014774,743.1501,7.074842,0.9745491,14.86699,0.3386956,10.73416,0.2417868,0.9593905,100.627,0.003134274,24.42124,0.1476309,47.97177,12.69178,1.474094,3.073195,15.99101,9.562054,1161.014,0.6577321,1.171748,1012.685,2443.244,2.797678,2.767739,5.301212,300.7484,260.7516,8.379237,2.768972,0.5460248,0,0.4145613,7.450581e-09,0.2792855,25.81741,0.1455427,-72.33003,0,-1.788033,4.013275,350.3224,416.8511,21.12846,295.8197,264.1805,NAN,NAN,NAN,NAN,NAN,153.8943,109.7644,5002.698,529.4932,312.7414,900,67.52785,KormannMeixner,201.5,-1.71333,0,260.7516,9,0,0,0,0,0.07645619,9
FLUX_BKLN,Flux_NYSMesonet,2019-08-10 04:30:00.000000,2846,2019,8,10,4,30,0,0,201908100400,201908100430,8.374681,0.3685697,2,18000,13.48218,2,0.01985995,0.009929976,2,18000,-16.89087,2,18000,0.05373862,1,-1.252829,0.2140342,0.06643786,0.2826514,0.167808,53.63274,420.2763,3.37703,742.1769,6.337211,0.9749604,14.70051,0.1463069,10.62704,0.110608,0.9597895,100.6388,0.005977421,24.1417,0.1843198,48.25392,12.52723,1.458008,3.022196,15.64188,8.91675,1162.433,0.6272478,1.17306,1012.588,2443.905,2.968957,2.936606,5.441541,308.9909,252.5091,8.455315,2.937506,0.5274431,0,0.438884,7.450581e-09,0.307388,25.52107,0.1730376,-71.52174,0,-2.01126,3.635127,350.9862,416.8616,21.13028,295.7383,264.0826,NAN,NAN,NAN,NAN,NAN,166.9921,104.5855,344.2031,156.6691,117.7103,900,94.60606,Kljun et al,201.5,-1.42222,0,252.5091,9,0,0,0,0,0.07645619,9
