stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 00:00:00.000000,4133,2019,9,6,0,0,0,0,201909052330,201909060000,8.296579,0.3651325,3,18000,3.44466,3,0.005056424,0.002528212,3,18000,6.497965,3,18000,0.0924331,1,1.886388,0.2779878,-0.01927716,0.4764766,-0.03174816,-283.481,408.1007,2.542713,733.929,4.396139,0.9745499,16.71665,0.1227673,12.30675,0.08901053,0.9590579,101.4414,0.004180499,20.51605,0.06905646,68.80876,14.59245,1.667878,2.423971,7.560925,10.35077,1183.817,0.3136451,1.196123,1013.754,2452.479,2.230534,2.148611,4.863221,148.2848,53.21521,15.52328,2.148611,0.7517292,0,0.5353815,2.328306e-10,0.3181555,22.06371,0.07123733,-60.37865,0,-2.03144,2.075755,357.7766,414.048,20.63217,293.0707,266.2804,NAN,NAN,NAN,NAN,NAN,1377.348,92.33997,259.2669,131.9362,99.79535,900,99.34236,Kljun et al,201.5,-0.05549808,0,53.21521,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 00:30:00.000000,4134,2019,9,6,0,30,0,0,201909060000,201909060030,4.076311,0.1793984,8,18000,0.08737738,8,0.0001282571,6.412857e-05,8,18000,0.4062148,8,18000,0.05205599,4,4.64897,0.208619,-0.001605746,0.3573472,-0.004608387,-1952.961,407.852,2.048297,733.4062,3.572653,0.974173,16.83604,0.04475117,12.39336,0.03158229,0.9587022,101.4308,0.003639197,20.48126,0.05157888,69.43332,14.69957,1.679418,2.418765,7.393464,10.49608,1183.694,0.2331074,1.196087,1013.823,2452.562,1.29013,1.150384,3.195899,133.6956,67.80446,26.65862,1.151519,0.555707,0,0.5670748,7.450581e-09,0.2903623,22.03968,0.05393041,-57.19485,0,-2.341174,2.45049,357.2631,409.6663,19.85197,292.679,266.5924,NAN,NAN,NAN,NAN,NAN,1000,78.96082,223.6627,113.0877,85.51089,900,99.09587,Kljun et al,201.5,-2.543504,0,67.80446,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 01:00:00.000000,4135,2019,9,6,1,0,0,0,201909060030,201909060100,4.759805,0.209479,8,18000,-0.2599388,8,-0.0003815529,-0.0001907764,8,18000,0.4167639,8,18000,0.05462722,1,-1.603315,0.2136939,-0.001608093,0.3753068,-0.004175344,-2155.511,408.1879,2.68792,734.1152,4.75272,0.9741461,16.83583,0.03961413,12.39498,0.02773556,0.9586987,101.4463,0.006778419,20.48412,0.05890209,69.43087,14.70175,1.679654,2.419196,7.395419,10.44312,1183.863,0.2707596,1.196258,1013.823,2452.555,1.370211,1.217669,2.823258,138.0414,63.45858,27.02626,1.219237,0.5302495,0,0.6221838,3.72529e-09,0.286943,22.04253,0.06114222,-49.08186,0,-1.462786,2.72583,363.0223,407.9156,19.53859,292.5559,266.6781,NAN,NAN,NAN,NAN,NAN,1000,81.26019,230.1096,116.3808,88.001,900,99.09595,Kljun et al,201.5,-2.903466,0,63.45858,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 01:30:00.000000,4136,2019,9,6,1,30,0,0,201909060100,201909060130,7.768044,0.3418716,7,18000,5.528556,7,0.008114529,0.004057264,7,18000,0.9769005,7,18000,0.07951193,4,0.1767008,0.257776,-0.003123891,0.3083764,-0.007806778,-1152.844,408.2201,2.459594,734.3757,4.334697,0.9742136,16.84605,0.05762847,12.40593,0.04179852,0.9587703,101.4487,0.004747262,20.40722,0.04817854,69.80465,14.71132,1.680696,2.407738,7.270412,10.47651,1184.19,0.2133697,1.196596,1013.829,2452.737,1.778429,1.719929,3.218707,148.2972,53.20275,14.69081,1.72004,0.6214957,0,0.3983195,0,0.2680251,21.96616,0.04817199,-45.8894,0,-1.534528,2.087211,364.961,407.2286,19.4153,292.6371,266.739,NAN,NAN,NAN,NAN,NAN,1000,99.70896,281.8524,142.8032,107.9801,900,99.09561,Kljun et al,201.5,-0.6546777,0,53.20275,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 02:00:00.000000,4137,2019,9,6,2,0,0,0,201909060130,201909060200,7.043382,0.3099792,5,18000,-3.230398,6,-0.00474123,-0.002370615,6,18000,2.924736,5,18000,0.04397275,4,-0.9053797,0.1917089,-0.01257549,0.4793873,-0.03934453,-228.7484,407.7166,3.249452,733.2864,5.803634,0.9742115,17.07218,0.05230702,12.56931,0.03798787,0.9587815,101.4322,0.01136112,20.36781,0.06195351,70.88713,14.91219,1.702601,2.401891,6.992899,10.54433,1183.893,0.1742071,1.196463,1013.959,2452.83,1.684628,1.545886,3.399301,121.3154,80.18458,23.24546,1.547495,0.7012681,0,0.6127723,0,0.3025026,21.94726,0.06095071,-46.42564,0,-1.577514,2.32692,363.9156,406.4369,19.273,292.59,266.8965,NAN,NAN,NAN,NAN,NAN,1403.831,55.09372,728.6293,158.2846,107.4568,900,92.07577,KormannMeixner,201.5,-2.61304,0,80.18458,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 02:30:00.000000,4138,2019,9,6,2,30,0,0,201909060200,201909060230,2.593356,0.1141336,8,18000,-0.5086274,8,-0.0007464353,-0.0003732176,8,18000,-0.6153382,8,18000,0.05232079,4,1.209801,0.2091045,0.002425079,0.399536,0.007188631,1251.977,408.6343,2.248575,734.9154,3.964624,0.9743999,17.30091,0.06696511,12.73734,0.0490699,0.9589742,101.4169,0.006196292,20.26606,0.05266096,72.26247,15.11307,1.724765,2.386837,6.620716,10.67074,1183.859,0.2141042,1.196596,1014.091,2453.071,1.731728,1.651891,3.747048,116.4884,85.01156,17.3919,1.652738,0.674987,0,0.4821806,-3.72529e-09,0.333116,21.86592,0.05218605,-48.78093,0,-1.811283,2.152884,360.6284,405.4451,19.09445,292.5481,267.0608,NAN,NAN,NAN,NAN,NAN,959.2775,70.87531,201.2384,101.5453,76.77907,900,99.05764,Kljun et al,201.5,-1.838988,0,85.01156,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 03:00:00.000000,4139,2019,9,6,3,0,0,0,201909060230,201909060300,5.801108,0.2553068,7,18000,-1.683445,8,-0.002470176,-0.001235088,8,18000,3.226241,7,18000,0.06995134,4,-1.916451,0.2417413,-0.01099442,0.5173393,-0.02248118,-400.3349,406.6889,1.913203,731.6592,3.328557,0.9744871,17.31056,0.1084786,12.74866,0.07832767,0.9590585,101.399,0.01105779,20.1141,0.07089748,72.97121,15.11869,1.725405,2.364522,6.391165,10.7322,1184.252,0.2751108,1.197,1014.097,2453.43,1.861225,1.755197,4.399127,94.8887,106.6113,19.33292,1.756599,0.7516232,0,0.5913424,-7.450581e-09,0.34649,21.71401,0.07562637,-48.14463,0,-1.876653,2.150476,360.5846,404.7021,18.96044,292.4963,267.1528,NAN,NAN,NAN,NAN,NAN,1320.806,77.12743,217.0407,110.2296,83.37391,900,99.31445,Kljun et al,201.5,-2.289,0,106.6113,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 03:30:00.000000,4140,2019,9,6,3,30,0,0,201909060300,201909060330,4.753699,0.2092103,5,18000,1.090444,8,0.001599873,0.0007999364,8,18000,3.897692,5,18000,0.0561395,2,3.574408,0.2165416,-0.01482663,0.4312609,-0.03971254,-226.6287,408.7838,1.478897,735.6588,2.592401,0.9743543,17.14345,0.09712381,12.62954,0.06899372,0.9589283,101.3755,0.005174136,20.00235,0.06319331,72.76343,14.96696,1.708632,2.348218,6.395861,10.71416,1184.623,0.3403251,1.197252,1014,2453.694,1.856401,1.749864,3.996378,91.32928,110.1707,19.40439,1.750541,0.6348532,0,0.5971737,3.72529e-09,0.3207284,21.58636,0.06741659,-45.91183,0,-1.751058,2.201792,361.9433,403.9023,18.81604,292.3839,267.1676,NAN,NAN,NAN,NAN,NAN,1404.857,75.12836,211.1936,107.331,81.18546,900,99.3553,Kljun et al,201.5,-1.596855,0,110.1707,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 04:00:00.000000,4141,2019,9,6,4,0,0,0,201909060330,201909060400,1.680015,0.07393748,4,18000,-1.552023,7,-0.002276815,-0.001138408,7,18000,3.592782,3,18000,0.05671712,4,-2.314903,0.2176199,-0.0135955,0.3925043,-0.0345276,-260.6611,410.1467,2.508771,738.3672,4.462841,0.9744085,17.07115,0.1493425,12.58065,0.1096334,0.9589812,101.3601,0.0119694,19.87735,0.05596596,73.01485,14.89981,1.70129,2.330098,6.288079,10.58574,1185.033,0.2385503,1.197614,1013.958,2453.99,1.731774,1.61415,3.887804,88.44586,113.0541,21.10996,1.615287,0.5947702,0,0.5964505,0,0.2747795,21.45406,0.05602795,-44.62559,0,-1.826814,2.06088,362.6629,403.4008,18.72536,292.2955,267.201,NAN,NAN,NAN,NAN,NAN,1388.39,85.35956,239.7647,121.9565,92.24734,900,99.34763,Kljun et al,201.5,-2.148678,0,113.0541,9,0,0,0,0,0.3709677,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-06 04:30:00.000000,4142,2019,9,6,4,30,0,0,201909060400,201909060430,3.539913,0.1557916,3,17999,-8.882609,3,-0.0130301,-0.006515049,3,17999,6.280357,3,17999,0.0714473,4,-0.7070397,0.2442491,-0.02117731,0.4115576,-0.04007012,-224.6062,412.5358,1.825884,742.7828,3.223394,0.9742939,16.83102,0.0655933,12.4056,0.04805679,0.9588784,101.3332,0.007615277,19.82336,0.07387626,72.22729,14.68009,1.677309,2.32232,6.450107,10.51442,1185.216,0.3219449,1.197622,1013.82,2454.118,1.752223,1.632911,3.517608,67.06836,134.4317,21.13642,1.632963,0.5848885,0,0.6083587,9.313226e-10,0.3330469,21.37783,0.07361118,-47.42607,0,-1.729847,2.255044,358.9548,402.396,18.54342,292.1874,267.1637,NAN,NAN,NAN,NAN,NAN,1405.836,80.26805,225.5151,114.6734,86.73923,900,99.35566,Kljun et al,201.5,-0.4551264,0,134.4317,9,0,0,0,0,0.3709677,9
