stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 00:00:00.000000,1925,2019,7,22,0,0,0,0,201907212330,201907220000,4.92575,0.2167823,7,18000,11.27895,7,0.01678117,0.008390584,7,18000,-1.369032,8,18000,0.2404794,1,-0.1213793,0.4616461,0.002574986,1.677793,0.0006622925,13589.16,410.6978,2.298104,691.6674,3.987781,0.9723674,28.71861,0.265778,19.79899,0.1747256,0.957449,100.6629,0.01046926,34.40585,0.09258708,51.40341,22.93523,2.810187,5.466896,26.56708,18.04576,1108.592,0.5477774,1.128391,1020.634,2419.63,4.151609,3.979308,8.155152,261.5757,299.9243,16.50141,3.979541,1.251466,0,1.201264,0,0.588544,37.17159,0.1123551,-48.04686,0.3411145,11.60583,3.821711,451.3456,507.1765,35.91683,307.6274,265.3642,NAN,NAN,NAN,NAN,NAN,1000,91.3363,258.3679,130.8119,98.91295,900,99.09583,Kljun et al,201.5,-0.6238832,0,299.9243,9,0,0,0,0,0.2626578,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 00:30:00.000000,1926,2019,7,22,0,30,0,0,201907220000,201907220030,12.55525,0.5525565,8,18000,3.612787,8,0.00537294,0.00268647,8,18000,-22.27372,8,18000,0.2669258,3,-6.165246,0.485888,0.03974626,3.625571,0.0196346,458.3745,420.6776,4.318518,710.2791,6.940207,0.9722996,27.77909,0.2836776,19.20027,0.1987604,0.9573693,100.6856,0.006978941,33.97272,0.5091483,51.02066,22.40563,2.721349,5.338424,26.17075,17.50366,1111.423,1.842867,1.130624,1020.099,2420.655,5.346412,5.090919,13.62023,280.3953,281.1047,17.70695,5.091408,2.033375,0,1.619905,7.450581e-09,0.7017361,36.64561,0.5095508,-37.59315,0.3911477,4.882573,2.223939,461.6793,501.931,35.11424,307.3014,265.283,NAN,NAN,NAN,NAN,NAN,457.593,95.90401,279.8339,138.7893,104.7941,900,98.02898,Kljun et al,201.5,-0.798923,0,281.1047,9,0,0,0,0,0.1226313,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 01:00:00.000000,1927,2019,7,22,1,0,0,0,201907220030,201907220100,7.553439,0.3324268,8,18000,3.213419,8,0.004770036,0.002385018,8,18000,-13.11236,8,18000,0.2907344,3,-4.080502,0.5053565,0.02235535,2.61313,0.01021894,880.7179,417.1209,1.990665,709.5628,3.471359,0.9736918,26.78521,0.4906288,18.65185,0.3203951,0.9586819,100.7085,0.01621685,32.04954,0.3798588,54.84617,21.82556,2.627106,4.791183,21.64078,17.26327,1119.764,1.868189,1.138415,1019.532,2425.203,5.747831,5.580617,11.87051,296.538,264.962,13.8156,5.581275,1.700786,0,1.342223,0,0.7294004,34.61213,0.4099835,-44.33593,0,-3.545148,-0.4992659,448.6891,489.9791,33.26251,305.6348,265.2491,NAN,NAN,NAN,NAN,NAN,724.5918,99.98347,285.4692,143.6727,108.5865,900,98.75359,Kljun et al,201.5,-0.889958,0,264.962,9,0,0,0,0,0.09725906,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 01:30:00.000000,1928,2019,7,22,1,30,0,0,201907220100,201907220130,7.095564,0.3122758,9,18000,58.36449,9,0.08659402,0.04329701,9,18000,-0.8787227,9,18000,0.1096612,3,-0.01505578,0.3098971,0.002439884,1.300413,-0.009842919,-914.3629,417.6367,1.91905,713.951,3.638552,0.9727893,23.69221,0.7789176,16.57927,0.5258901,0.9578403,100.7331,0.01050159,31.54136,0.2165186,50.08484,19.87882,2.331294,4.654561,23.23267,15.89011,1125.294,1.510247,1.141874,1017.764,2426.405,3.926382,3.776562,7.702886,306.8869,254.6131,15.82244,3.776855,1.101137,0,1.059314,-3.72529e-09,0.5159233,33.8082,0.259848,-58.29294,0,-2.851893,1.44689,427.9246,481.9187,31.9949,304.4857,264.8282,NAN,NAN,NAN,NAN,NAN,1054.466,96.46754,272.3856,138.0986,104.4295,900,99.1422,Kljun et al,201.5,-0.7071457,0,254.6131,9,0,0,0,0,0.06085611,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 02:00:00.000000,1929,2019,7,22,2,0,0,0,201907220130,201907220200,2.577808,0.1134493,8,18000,-7.536268,8,-0.01117584,-0.005587918,8,18000,-1.312345,8,18000,0.09870774,1,0.1741372,0.293671,0.003837423,0.9303316,0.007241976,1242.755,422.3823,3.066275,723.9797,5.362917,0.9727446,23.16395,0.23398,16.25326,0.1658276,0.9578108,100.7797,0.01363524,31.03183,0.1123694,50.46623,19.53811,2.281603,4.521393,22.3979,14.10579,1128.281,0.4065996,1.144535,1017.462,2427.61,3.836444,3.738172,8.07734,304.1833,257.3167,12.96388,3.739132,0.9228328,0,0.863524,1.490116e-08,0.513195,33.24507,0.10269,-53.38999,0,-2.376604,1.66749,427.5672,476.9131,31.19973,303.8598,264.7062,NAN,NAN,NAN,NAN,NAN,953.448,96.11848,272.134,137.7195,104.1299,900,99.05185,Kljun et al,201.5,-1.299377,0,257.3167,9,0,0,0,0,0.04871775,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 02:30:00.000000,1930,2019,7,22,2,30,0,0,201907220200,201907220230,6.804606,0.2994707,5,18000,4.423559,5,0.006559089,0.003279544,5,18000,-5.392833,5,18000,0.09472319,1,-1.219116,0.2876355,0.01609283,0.7897873,0.02194173,410.1774,428.6171,1.901863,734.8102,3.192051,0.9725947,23.37781,0.1291013,16.4065,0.08621137,0.9576905,100.7799,0.01377439,30.90906,0.1069041,51.27655,19.68325,2.302192,4.489851,21.87659,14.48564,1128.504,0.436955,1.14491,1017.585,2427.9,3.746803,3.673872,7.141295,310.1216,251.3784,11.30084,3.674511,0.9262888,0,0.7149043,0,0.4587759,33.14157,0.1139391,-38.30148,0,-1.125571,1.804963,440.8803,476.2512,31.09416,303.6551,264.7769,NAN,NAN,NAN,NAN,NAN,427.1236,103.404,302.6307,149.8492,113.1237,900,97.88834,Kljun et al,201.5,-1.069912,0,251.3784,9,0,0,0,0,0.04871775,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 03:00:00.000000,1931,2019,7,22,3,0,0,0,201907220230,201907220300,10.32178,0.4542616,8,18000,0.4486659,9,0.0006650139,0.0003325069,9,18000,-0.5454924,8,18000,0.2233324,1,-1.21581,0.4413934,0.001059385,1.877054,0.0006141224,14655.06,426.009,2.208888,731.1566,3.493814,0.9725581,23.53524,0.2761844,16.5356,0.2004594,0.9576812,100.7798,0.01667043,30.52134,0.2202724,52.77941,19.78815,2.317333,4.391746,20.74413,14.57172,1129.769,0.7694984,1.146305,1017.675,2428.817,5.401747,5.280395,11.28588,307.8432,253.6568,12.14064,5.281264,1.422729,0,1.15081,1.490116e-08,0.6368562,32.7658,0.2046663,-35.92406,0,-1.539976,1.042678,442.3293,475.6707,31.00138,303.5596,264.7951,NAN,NAN,NAN,NAN,NAN,1000,106.5748,301.1122,152.6365,115.4156,900,99.09509,Kljun et al,201.5,-1.037583,0,253.6568,9,0,0,0,0,0.06669594,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 03:30:00.000000,1932,2019,7,22,3,30,0,0,201907220300,201907220330,4.85481,0.2136602,8,17984,-46.85172,8,-0.06935273,-0.03467637,8,17984,-10.72267,8,17984,0.484827,3,0.2288639,0.6488572,0.01409035,4.068787,0.005118883,1758.196,419.5291,2.792815,722.7346,3.542065,0.9738675,24.90376,0.679589,17.56377,0.4757156,0.9589747,100.8426,0.02976623,29.17333,0.6805385,60.35518,20.68651,2.450301,4.066742,16.16441,14.99418,1134.001,2.297252,1.151565,1018.459,2432.005,6.312575,6.08366,13.63129,277.4064,284.0936,15.42479,6.083918,2.129212,0,1.690585,3.72529e-09,0.8636861,31.5361,0.6819463,-29.09324,0,-8.227081,0.343098,447.7562,468.2792,29.80452,302.5765,286.2607,NAN,NAN,NAN,NAN,NAN,1000,93.99064,265.8127,134.6134,101.7875,900,99.09579,Kljun et al,201.5,-0.5262833,0,284.0936,9,0,0,0,0,0.1926425,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 04:00:00.000000,1933,2019,7,22,4,0,0,0,201907220330,201907220400,6.244804,0.2748338,5,17966,61.82058,6,0.0913876,0.0456938,6,17966,-18.0864,5,17966,0.06352292,2,-0.2925627,0.2344744,0.06552405,0.9561365,0.1124391,80.04333,422.1981,4.768068,729.4705,8.097127,0.9748175,25.61076,1.469116,18.11622,1.035385,0.960054,100.7435,0.01702502,27.79003,0.4071059,67.1881,21.09628,2.515481,3.751221,12.3574,14.38133,1137.303,0.6382307,1.15542,1018.864,2435.277,3.124506,2.952876,6.825403,311.1373,250.3627,18.98413,2.954091,0.8491571,0,1.014086,7.450581e-09,0.4035267,30.20772,0.288318,-30.23205,0,-17.14306,0.545655,440.3764,452.9197,27.29724,301.4583,445.3511,NAN,NAN,NAN,NAN,NAN,195.6993,76.52942,242.7915,113.7076,85.53761,900,95.39711,Kljun et al,201.5,-1.640461,0,250.3627,9,0,0,0,0,0.1926425,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-22 04:30:00.000000,1934,2019,7,22,4,30,0,0,201907220400,201907220430,6.525009,0.2871656,7,18000,29.05265,7,0.04292789,0.02146394,7,18000,-7.352076,7,18000,0.09858218,2,-0.2530604,0.291841,0.02133927,0.839082,0.02267742,396.8705,427.8321,2.523502,739.6289,4.562691,0.9741988,27.51588,0.3194342,19.47292,0.2291793,0.9595578,100.8315,0.01711106,27.31472,0.2320093,74.04207,22.27683,2.700159,3.647801,9.476416,17.20969,1137.986,0.6159006,1.157459,1019.949,2436.401,3.260074,3.132152,6.708686,284.4248,277.0752,16.04517,3.132562,0.843722,0,0.9084089,7.450581e-09,0.3756199,29.90527,0.2171792,-25.35399,0,-3.384317,5.652301,433.0596,449.377,26.7082,299.0114,385.8434,NAN,NAN,NAN,NAN,NAN,418.7112,96.55354,283.2108,139.9799,105.6672,900,97.84632,Kljun et al,201.5,-0.9326345,0,277.0752,9,0,0,0,0,0.1926425,9
