stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 00:00:00.000000,4373,2019,9,11,0,0,0,0,201909102330,201909110000,8.025815,0.3532161,3,18000,-5.390764,4,-0.007924763,-0.003962381,4,18000,4.294548,3,18000,0.4322499,1,-0.7966492,0.6010375,-0.005871963,2.406345,-0.001839159,-4893.541,404.6364,1.125203,725.4787,1.958283,0.9739771,22.2752,0.04524092,16.34889,0.03161719,0.9585291,102.2125,0.004232573,22.04041,0.04309868,83.68166,19.15032,2.227193,2.661519,4.343257,13.89279,1180.204,0.187945,1.196553,1016.953,2448.875,3.97552,3.757831,9.040241,164.6433,36.85667,18.95424,3.757844,1.625204,0,1.235481,0,0.8031117,24.10688,0.04545969,-54.03013,0,-2.064766,1.305846,373.9962,424.6557,22.49619,294.9243,270.0853,NAN,NAN,NAN,NAN,NAN,1000,70.0086,198.5642,100.2663,75.81603,900,99.09592,Kljun et al,201.5,-0.1399333,0,36.85667,9,0,0,0,0,0.6933683,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 00:30:00.000000,4374,2019,9,11,0,30,0,0,201909110000,201909110030,5.729499,0.2521552,3,18000,-10.70458,4,-0.01573518,-0.007867589,4,18000,3.06037,3,18000,0.4225469,1,-0.2858936,0.5942426,-0.004231696,2.586286,-0.001153318,-7803.575,404.5117,0.9784023,725.195,1.729363,0.9741833,22.46931,0.1167541,16.48999,0.08436248,0.9587211,102.1955,0.006923437,21.95972,0.03545958,84.79769,19.28372,2.2458,2.64845,4.026496,13.83151,1180.106,0.1558165,1.196596,1017.064,2449.065,4.667629,4.455017,9.562748,169.2064,32.29364,17.28745,4.455881,1.650186,0,1.324186,7.450581e-09,0.8342614,24.04339,0.03092234,-53.69843,0,-1.974913,1.23483,372.2433,422.7319,22.16091,294.8572,270.2614,NAN,NAN,NAN,NAN,NAN,1000,76.36998,216.3977,109.3771,82.70512,900,99.09595,Kljun et al,201.5,1.128383,0,32.29364,9,0,0,0,0,0.4162238,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 01:00:00.000000,4375,2019,9,11,1,0,0,0,201909110030,201909110100,4.267797,0.1878258,8,18000,-3.320026,8,-0.004879978,-0.002439989,8,18000,-0.07662386,8,18000,0.3680711,1,0.02307929,0.5545862,0.0001134879,2.133893,0.0001660157,54211.73,405.0565,0.8734684,726.0606,1.552586,0.9740835,22.89277,0.1728347,16.79819,0.1262,0.9586557,102.201,0.006541083,21.89859,0.04404901,86.68823,19.5779,2.287299,2.638593,3.512945,14.06775,1179.925,0.1238351,1.196723,1017.307,2449.21,4.032504,3.830289,8.720036,174.0297,27.47029,18.13859,3.830342,1.492858,0,1.186587,-1.862645e-09,0.794464,24.02058,0.03370958,-52.81806,0,-2.112275,1.210905,371.8797,421.3745,21.92356,294.7815,270.7235,NAN,NAN,NAN,NAN,NAN,1000,70.91093,201.0936,101.5586,76.79324,900,99.09593,Kljun et al,201.5,0.2813968,0,27.47029,9,0,0,0,0,0.5302165,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 01:30:00.000000,4376,2019,9,11,1,30,0,0,201909110100,201909110130,6.976913,0.307054,3,18000,-13.23528,4,-0.01945186,-0.009725932,4,18000,3.58522,3,18000,0.4987193,1,-0.2708836,0.64553,-0.004560598,2.336409,-0.001038198,-8668.869,404.4592,1.214795,724.8536,2.175801,0.9740734,23.31089,0.08239702,17.10178,0.06025346,0.9586607,102.1836,0.008413965,21.78312,0.0364604,88.84348,19.86054,2.327728,2.620054,2.923257,14.39997,1179.703,0.1255636,1.196805,1017.546,2449.483,4.721097,4.557133,10.40802,177.0853,24.41473,15.0952,4.557328,1.663404,0,1.148552,-3.72529e-09,0.7659854,23.94252,0.0341319,-53.41688,0,-2.040642,1.213455,370.514,420.6768,21.80135,294.6777,271.3378,NAN,NAN,NAN,NAN,NAN,1000,83.7188,237.0044,119.902,90.66354,900,99.09588,Kljun et al,201.5,0.5330137,0,24.41473,9,0,0,0,0,0.4979881,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 02:00:00.000000,4377,2019,9,11,2,0,0,0,201909110130,201909110200,3.582722,0.1576756,3,18000,-18.34784,4,-0.02696573,-0.01348286,4,18000,1.257289,6,18000,0.2460085,1,-0.06852519,0.4533615,-0.002276796,1.526775,-0.0001390759,-64712.84,404.5564,1.056583,724.9963,1.878388,0.9742824,23.52192,0.114351,17.25585,0.08356049,0.9588855,102.1994,0.00746723,21.78089,0.03497744,89.65543,20.00509,2.34868,2.619696,2.710159,14.57714,1179.652,0.1288511,1.196908,1017.667,2449.488,4.682665,4.570343,9.32874,184.5483,16.95174,12.545,4.570469,1.290882,0,0.9678124,-7.450581e-09,0.6712028,23.95955,0.03294613,-54.10828,0,-2.035182,1.324453,369.8362,420.5848,21.78523,294.6482,271.6754,NAN,NAN,NAN,NAN,NAN,1000,91.24892,258.123,130.6867,98.81831,900,99.09582,Kljun et al,201.5,0.4261435,0,16.95174,9,0,0,0,0,0.1442814,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 02:30:00.000000,4378,2019,9,11,2,30,0,0,201909110200,201909110230,5.152492,0.2267612,7,18000,-1.723748,8,-0.002533414,-0.001266707,8,18000,-0.330449,7,18000,0.2630556,1,0.1917037,0.4688157,0.0005787704,1.457635,0.0004269106,21081.7,407.3648,1.220284,730.0974,2.198845,0.9739127,23.30452,0.2335569,17.09795,0.1695158,0.9585142,102.1916,0.01112813,21.79347,0.02875597,88.77054,19.85688,2.327288,2.621709,2.94421,14.65371,1179.762,0.1652826,1.19686,1017.543,2449.458,3.789898,3.674462,8.069066,185.2119,16.28806,14.13646,3.674459,1.317434,0,0.9078509,0,0.5961925,23.95236,0.03129984,-55.12868,0,-2.112038,1.534126,368.3743,419.8568,21.6575,294.5738,271.816,NAN,NAN,NAN,NAN,NAN,1000,85.34747,241.5719,122.2347,92.42733,900,99.09586,Kljun et al,201.5,-0.04582794,0,16.28806,9,0,0,0,0,0.3619478,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 03:00:00.000000,4379,2019,9,11,3,0,0,0,201909110230,201909110300,3.790545,0.1668219,7,18000,-0.8922415,7,-0.001311287,-0.0006556436,7,18000,-0.6276418,7,18000,0.1771464,1,0.7034439,0.3847036,0.001339942,1.288561,0.001208541,7446.995,407.5129,1.32225,730.6678,2.420477,0.9740462,22.76156,0.07573152,16.70658,0.05364882,0.9586156,102.166,0.004788124,21.7529,0.03464147,86.94126,19.4823,2.273704,2.615219,3.415153,14.26871,1180.254,0.1886322,1.196961,1017.232,2449.554,4.331222,4.242581,8.06677,188.7399,12.7601,11.58767,4.243074,1.225468,0,0.8600514,0,0.5793632,23.86185,0.0393592,-55.19051,0,-2.085976,1.433231,367.5065,419.1778,21.53825,294.5772,271.4927,NAN,NAN,NAN,NAN,NAN,1000,96.53969,272.9625,138.2642,104.548,900,99.09574,Kljun et al,201.5,0.8778325,0,12.7601,9,0,0,0,0,0.097849,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 03:30:00.000000,4380,2019,9,11,3,30,0,0,201909110300,201909110330,4.632415,0.2038726,5,18000,-3.716782,5,-0.005461842,-0.002730921,5,18000,-1.012278,5,18000,0.1503478,1,0.2723534,0.3543532,0.002345552,1.12086,0.00281162,3201.001,409.5523,1.509865,734.6163,2.647087,0.9739273,22.65556,0.07593619,16.63539,0.05389399,0.9585044,102.1603,0.004841545,21.64967,0.03889561,87.08833,19.40801,2.263223,2.598771,3.355477,14.12685,1180.724,0.1861399,1.19736,1017.171,2449.799,3.658162,3.557389,8.487413,193.3904,8.109548,13.44396,3.557632,1.117367,0,0.8339261,3.72529e-09,0.5456904,23.74819,0.04334197,-54.73491,0,-2.165801,1.49455,367.0772,418.1517,21.35775,294.4254,271.5575,NAN,NAN,NAN,NAN,NAN,1000,88.13556,249.3908,126.2278,95.44672,900,99.09588,Kljun et al,201.5,0.6715444,0,8.109548,9,0,0,0,0,0.1467818,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 04:00:00.000000,4381,2019,9,11,4,0,0,0,201909110330,201909110400,3.248647,0.142973,3,18000,-8.79167,4,-0.0129176,-0.006458802,4,18000,-1.703072,3,18000,0.1603321,1,0.1937142,0.3658678,0.00382104,1.366831,0.004619438,1948.289,408.4219,1.055964,732.9089,1.915121,0.9741319,22.49712,0.07008569,16.52627,0.05103326,0.9586926,102.1382,0.01031404,21.5029,0.05086308,87.255,19.29428,2.247257,2.575543,3.282864,13.99719,1181.24,0.1367307,1.197766,1017.08,2450.146,4.183607,4.051628,8.001892,194.3576,7.142422,14.38674,4.052162,1.153986,0,1.009968,-7.450581e-09,0.6180137,23.58589,0.04779029,-55.33825,0,-2.183075,1.348324,365.8255,417.6324,21.26626,294.3483,271.5474,NAN,NAN,NAN,NAN,NAN,1000,88.35794,250.0146,126.5463,95.68754,900,99.09586,Kljun et al,201.5,0.9212422,0,7.142422,9,0,0,0,0,0.09602723,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-11 04:30:00.000000,4382,2019,9,11,4,30,0,0,201909110400,201909110430,4.296088,0.1890708,1,18000,-1.729013,4,-0.002540076,-0.001270038,4,18000,-2.977878,1,18000,0.1970557,1,1.722299,0.4055466,0.006025599,1.316713,0.004663797,1929.758,409.288,0.8759281,734.6862,1.625023,0.9742481,22.51057,0.05028564,16.54118,0.03701529,0.9588252,102.1191,0.005244441,21.35447,0.04692,88.08656,19.3007,2.248151,2.552232,3.040805,13.96441,1181.599,0.2109212,1.19814,1017.088,2450.497,3.842556,3.71028,7.82593,197.8325,3.667531,15.02852,3.710714,1.146621,0,0.9619519,-7.450581e-09,0.6271644,23.43764,0.04638998,-56.20488,0,-2.298481,1.346352,364.3045,416.8645,21.13083,294.1873,271.713,NAN,NAN,NAN,NAN,NAN,1000,81.83113,231.711,117.1986,88.6193,900,99.0959,Kljun et al,201.5,0.8906678,0,3.667531,9,0,0,0,0,0.2114432,9
