stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 00:00:00.000000,1829,2019,7,20,0,0,0,0,201907192330,201907200000,6.391346,0.2812831,7,18000,0.747933,7,0.001111172,0.0005555858,7,18000,1.325807,7,18000,0.1953361,1,1.772628,0.4148511,-0.002755852,1.388374,-0.001962738,-4585.432,417.8828,3.305342,707.0629,5.526797,0.9728433,30.63877,0.1501988,21.22178,0.09982044,0.9579931,100.8299,0.007979548,32.90862,0.08744295,59.61632,24.00544,2.997463,5.028013,20.3055,18.85943,1113.784,0.4311911,1.135006,1021.725,2423.171,4.227374,4.084752,7.426577,253.7701,307.7299,14.87797,4.084922,1.133092,0,1.070079,-3.72529e-09,0.5897294,35.84173,0.0931206,-37.62067,0.2535102,31.42246,7.327835,444.5634,506.2787,35.7786,306.5004,267.6411,NAN,NAN,NAN,NAN,NAN,1000,92.56993,261.8279,132.5787,100.2489,900,99.09579,Kljun et al,201.5,-0.5368434,0,307.7299,9,0,0,0,0,0.1588553,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 00:30:00.000000,1830,2019,7,20,0,30,0,0,201907200000,201907200030,9.250196,0.4071011,1,18000,6.651021,4,0.009878604,0.004939302,4,18000,-11.59949,4,18000,0.1986484,1,-1.744017,0.418149,0.02389431,1.163637,0.01558019,577.6567,422.2934,2.996908,715.1235,5.095423,0.9725677,30.87263,0.1147747,21.40166,0.08171148,0.9577255,100.8505,0.006766277,32.64626,0.1068647,60.96466,24.13181,3.020277,4.954377,19.341,19.13606,1114.715,0.3911122,1.136117,1021.858,2423.792,3.424305,3.297745,7.515815,251.8086,309.6914,15.57211,3.298113,1.09784,0,0.9155933,0,0.5326446,35.59884,0.102986,-51.93052,0.2797917,2.463166,2.034207,443.4312,495.7907,34.16727,305.8606,267.7898,NAN,NAN,NAN,NAN,NAN,533.0014,85.61842,248.1719,123.5673,93.33537,900,98.30737,Kljun et al,201.5,-0.8623186,0,309.6914,9,0,0,0,0,0.3547815,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 01:00:00.000000,1831,2019,7,20,1,0,0,0,201907200030,201907200100,-7.803585,-0.3434357,9,18000,-24.6045,9,-0.03652323,-0.01826161,9,18000,0.3379634,9,18000,0.1952277,1,-0.01373584,0.4141752,-0.0007014333,1.329899,0.001780374,5055.118,431.5065,8.094296,731.741,13.87885,0.9718455,31.43395,0.3178883,21.82109,0.2312827,0.9570469,100.8483,0.005825284,32.05005,0.3305691,64.17995,24.42233,3.073438,4.791105,17.17666,19.26086,1116.26,0.9333089,1.138082,1022.177,2425.202,2.797952,2.646577,7.449092,234.9284,326.5716,18.84049,2.646725,1.245572,0,0.9017481,1.862645e-09,0.5433224,35.04948,0.3123352,-51.14902,0,-2.704568,0.7768496,440.6685,488.3361,33.00549,305.3023,267.9909,NAN,NAN,NAN,NAN,NAN,1000,83.62835,236.751,119.7726,90.56563,900,99.09586,Kljun et al,201.5,-0.5837338,0,326.5716,9,0,0,0,0,0.3547815,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 01:30:00.000000,1832,2019,7,20,1,30,0,0,201907200100,201907200130,12.0437,0.5300431,1,18000,-0.1530194,9,-0.0002269878,-0.0001134939,9,18000,-11.04534,2,18000,0.2013899,1,72.18263,0.4202262,0.02254024,1.111352,0.01518771,592.5845,435.1719,9.150679,739.2175,15.46375,0.9721967,32.01622,0.1920291,22.26328,0.1321083,0.9574014,100.8447,0.004421285,31.34488,0.1037313,67.9745,24.71971,3.1285,4.602675,14.74175,19.62381,1118.174,0.3598555,1.140437,1022.506,2426.869,3.001725,2.86694,6.026622,238.3927,323.1073,17.16406,2.866996,1.147854,0,0.7899707,0,0.5301725,34.39184,0.09997521,-47.01683,0,-2.353895,0.9127191,438.3513,482.1016,32.02408,304.5016,268.3361,NAN,NAN,NAN,NAN,NAN,542.4385,86.279,249.8381,124.485,94.03221,900,98.33678,Kljun et al,201.5,-0.3397986,0,323.1073,9,0,0,0,0,0.3547815,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 02:00:00.000000,1833,2019,7,20,2,0,0,0,201907200130,201907200200,-6.071065,-0.2671876,7,18000,-10.07105,7,-0.01493354,-0.007466771,7,18000,-3.795571,7,18000,0.2830591,1,0.3768794,0.4978895,0.006528852,1.517393,0.003666231,2454.837,431.2274,9.68782,733.3675,16.20883,0.972789,32.14127,0.1578091,22.37629,0.101216,0.9580231,100.843,0.01351605,30.94795,0.1521332,69.78972,24.78277,3.140286,4.499902,13.59615,19.97806,1119.479,0.7745455,1.141856,1022.577,2427.808,3.562232,3.40707,8.621696,237.7043,323.7957,16.90503,3.407739,1.271685,0,0.9970012,0,0.650839,34.00261,0.1606211,-45.6208,0,-2.158257,0.9312688,435.8337,478.3649,31.43109,304.0974,268.5247,NAN,NAN,NAN,NAN,NAN,1000,75.80949,214.8268,108.5745,82.09818,900,99.0959,Kljun et al,201.5,-1.135575,0,323.7957,9,0,0,0,0,0.5442125,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 02:30:00.000000,1834,2019,7,20,2,30,0,0,201907200200,201907200230,-0.8773563,-0.03861245,7,18000,-6.974272,4,-0.01033896,-0.005169482,4,18000,-14.85552,1,18000,0.2979487,1,2.130046,0.5106202,0.02489191,1.462912,0.01171459,768.2727,435.6105,9.936301,741.2263,16.75873,0.9732845,32.51474,0.2522176,22.64861,0.1751296,0.9585693,100.8478,0.006489608,30.68771,0.1437103,71.63769,24.97086,3.175774,4.433544,12.5777,19.88881,1120.086,0.4689693,1.142735,1022.789,2428.424,3.369887,3.2002,7.355019,237.9515,323.5485,18.17614,3.200595,1.239164,0,0.9793003,7.450581e-09,0.6567106,33.77456,0.1346803,-43.98928,0,-1.918458,1.043599,434.5833,475.6104,30.9917,303.7774,268.7274,NAN,NAN,NAN,NAN,NAN,653.5057,72.29983,208.0929,104.029,78.61001,900,98.6188,Kljun et al,201.5,-0.9052138,0,323.5485,9,0,0,0,0,0.6891059,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 03:00:00.000000,1835,2019,7,20,3,0,0,0,201907200230,201907200300,4.817471,0.2120169,4,18000,-12.51943,1,-0.01855033,-0.009275164,1,18000,-9.739879,1,18000,0.218508,1,0.7779807,0.4369669,0.01903736,1.351077,0.01287114,699.2385,434.4542,5.679595,740.0584,9.563182,0.9731475,33.10553,0.16324,23.08501,0.1100753,0.9584414,100.8484,0.008909405,30.18837,0.09830806,75.0078,25.26398,3.231652,4.308563,10.76911,20.37813,1121.295,0.4559013,1.14438,1023.124,2429.604,3.37671,3.228014,7.635853,244.3737,317.1263,16.99761,3.228416,1.255254,0,0.8893522,3.72529e-09,0.5792624,33.3251,0.09986699,-43.05044,0,-2.144234,0.7848321,432.1707,472.2921,30.45985,303.3174,269.0773,NAN,NAN,NAN,NAN,NAN,609.8634,79.11917,228.1151,113.9504,86.09585,900,98.52016,Kljun et al,201.5,-0.9101141,0,317.1263,9,0,0,0,0,0.4353625,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 03:30:00.000000,1836,2019,7,20,3,30,0,0,201907200300,201907200330,9.4881,0.4175713,2,18000,2.114997,7,0.003134644,0.001567322,7,18000,-14.70277,1,18000,0.1815445,1,-6.951675,0.3983918,0.03154133,1.142471,0.02347749,383.3459,433.4754,4.117025,738.1926,7.072263,0.9735045,32.76566,0.1813545,22.84183,0.1281838,0.9588162,100.8756,0.006298725,30.45231,0.1207135,73.16993,25.10061,3.200388,4.374235,11.73847,20.55935,1120.991,0.3163659,1.143832,1022.931,2428.98,3.702311,3.580901,7.300769,250.3852,311.1148,14.66816,3.581441,1.068103,0,0.9285161,0,0.5309951,33.56013,0.1104399,-38.11601,0,-0.9372271,1.683029,437.0667,472.5624,30.50332,303.3175,269.0893,NAN,NAN,NAN,NAN,NAN,410.1612,78.77692,232.1945,114.2582,86.24547,900,97.8017,Kljun et al,201.5,-0.9984389,0,311.1148,9,0,0,0,0,0.4353625,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 04:00:00.000000,1837,2019,7,20,4,0,0,0,201907200330,201907200400,-4.682157,-0.2060617,7,18000,-12.99672,7,-0.01925694,-0.009628469,7,18000,-11.76341,7,18000,0.1659825,1,0.9051058,0.3807953,0.02637989,0.9645872,0.02323831,387.2915,443.1931,9.139527,755.2092,15.57968,0.9730716,32.94483,0.1978355,22.98099,0.1405623,0.9583998,100.8572,0.01406731,30.15626,0.212999,74.80685,25.18619,3.216743,4.300858,10.84115,20.35739,1121.686,0.5771104,1.144667,1023.033,2429.68,3.123633,3.023439,6.656316,243.5717,317.9283,14.50696,3.023674,1.046811,0,0.7484238,3.72529e-09,0.5227072,33.27771,0.2062512,-39.86753,0,-2.031269,0.6796733,433.7616,470.9182,30.2387,303.2899,269.1661,NAN,NAN,NAN,NAN,NAN,412.6555,76.9431,226.8032,111.5839,84.22829,900,97.815,Kljun et al,201.5,-0.7000572,0,317.9283,9,0,0,0,0,0.4353625,9
FLUX_BKLN,Flux_NYSMesonet,2019-07-20 04:30:00.000000,1838,2019,7,20,4,30,0,0,201907200400,201907200430,-5.627272,-0.2476562,4,18000,-24.62726,1,-0.03646531,-0.01823265,1,18000,-19.52536,4,18000,0.1727084,2,0.7928353,0.3880222,0.0428732,0.9377625,0.0367869,244.6523,451.0393,7.269721,770.0778,12.28398,0.9721354,33.22359,0.1551192,23.22066,0.1033784,0.957507,100.853,0.004289843,29.47105,0.1660976,78.44117,25.3227,3.242956,4.134599,8.91643,20.68702,1123.876,0.673963,1.147097,1023.19,2431.301,2.001756,1.843454,5.794747,235.6716,325.8284,22.77838,1.845811,1.019098,0,0.7508023,1.490116e-08,0.5227438,32.61132,0.171007,-40.56283,0,-2.414569,0.6099082,429.3435,466.8819,29.58648,302.5924,269.5362,NAN,NAN,NAN,NAN,NAN,322.4814,78.10473,234.4764,113.9513,85.94508,900,97.20518,Kljun et al,201.5,-2.893792,0,325.8284,9,0,0,0,0,0.4353625,9
