stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 00:00:00.000000,5141,2019,9,27,0,0,0,0,201909262330,201909270000,9.133121,0.4019487,1,18000,-9.804933,1,-0.01438502,-0.007192508,1,18000,7.955603,1,18000,0.1516196,2,-0.8113878,0.3569927,-0.01846664,0.8852708,-0.01654686,-543.91,429.4781,3.301194,767.7375,6.173112,0.9734714,17.7548,0.06733943,12.99251,0.04732753,0.9576686,100.7451,0.02743543,19.96356,0.08489245,75.0272,15.40608,1.757505,2.342552,5.850478,11.09569,1176.705,0.6414279,1.189698,1014.353,2453.786,3.075063,2.967964,6.337397,324.7873,236.7127,15.11647,2.968753,0.9446689,0,0.805264,0,0.479262,21.60327,0.08617065,-70.4322,0,-3.014602,2.354682,341.0356,406.0985,19.21186,292.3984,268.7521,NAN,NAN,NAN,NAN,NAN,1251.334,82.1084,231.2038,117.3904,88.78611,900,99.27672,Kljun et al,201.5,-1.322411,0,236.7127,9,0,0,0,0,0.3545408,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 00:30:00.000000,5142,2019,9,27,0,30,0,0,201909270000,201909270030,14.63925,0.6442734,2,18000,-14.39421,2,-0.02111515,-0.01055758,2,18000,3.413102,4,18000,0.1373412,4,-0.2371162,0.339548,-0.008319608,0.7291142,-0.006619037,-1359.714,438.7821,3.765514,785.4673,6.959718,0.9737975,17.58338,0.1030106,12.88508,0.07258482,0.958019,100.8203,0.01598362,19.82153,0.05967489,75.02735,15.26905,1.742127,2.322014,5.798873,11.01796,1178.353,0.4478063,1.191238,1014.254,2454.122,3.391324,3.331976,6.766238,319.0042,242.4958,10.71525,3.333176,0.9394035,0,0.6200445,0,0.4373719,21.44478,0.0621004,-71.70688,0,-2.670292,2.807386,336.9951,403.2243,18.69336,292.0751,268.8282,NAN,NAN,NAN,NAN,NAN,1000,99.90524,282.4028,143.0843,108.1927,900,99.09561,Kljun et al,201.5,-1.533722,0,242.4958,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 01:00:00.000000,5143,2019,9,27,1,0,0,0,201909270030,201909270100,8.683837,0.3821757,3,18000,-10.63605,3,-0.0156001,-0.007800051,3,18000,2.827291,3,18000,0.0969121,1,-0.2658215,0.285065,-0.008200092,0.4325183,-0.009609223,-936.6002,445.3651,2.44709,798.2115,4.510536,0.9738796,17.46564,0.05832803,12.81424,0.04304254,0.9581182,100.8814,0.01623544,19.68009,0.06425441,75.23673,15.17587,1.731713,2.301733,5.7002,10.88485,1179.773,0.4122701,1.192587,1014.186,2454.457,2.629493,2.584167,5.66131,320.3694,241.1306,10.63456,2.58545,0.7367516,0,0.4549356,1.490116e-08,0.3395104,21.2918,0.06302828,-71.91541,0,-2.763846,3.004531,334.2514,400.3985,18.18064,291.7753,268.9396,NAN,NAN,NAN,NAN,NAN,1042.224,106.3704,300.2211,152.2899,115.1593,900,99.13159,Kljun et al,201.5,-1.803756,0,241.1306,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 01:30:00.000000,5144,2019,9,27,1,30,0,0,201909270100,201909270130,16.72688,0.7361499,1,18000,10.76379,4,0.01578753,0.007893765,4,18000,-4.681109,1,18000,0.1450593,1,-0.4348943,0.3486238,0.01109655,0.5404521,0.009701538,927.688,444.6877,4.171674,797.9106,7.295683,0.9738654,16.87703,0.4389044,12.39651,0.3184561,0.9581051,100.9405,0.01616825,19.68486,0.09494385,72.77234,14.65718,1.675277,2.302438,6.271608,10.83924,1181.129,0.4655748,1.193525,1013.846,2454.445,2.299769,2.230523,4.968235,321.9517,239.5483,14.05529,2.233064,0.7839277,0,0.5476331,0,0.4079945,21.24278,0.06731713,-71.67493,0,-2.28022,3.757654,332.4268,398.0638,17.75513,291.4647,268.8907,NAN,NAN,NAN,NAN,NAN,754.2855,107.8724,307.3451,154.9352,117.1065,900,98.80179,Kljun et al,201.5,-2.732285,0,239.5483,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 02:00:00.000000,5145,2019,9,27,2,0,0,0,201909270130,201909270200,6.507136,0.286379,7,18000,-21.57644,7,-0.03164152,-0.01582076,7,18000,4.068099,7,18000,0.07191785,1,-0.1885436,0.2453253,-0.01368962,0.4851751,-0.01902878,-472.9679,437.614,4.20664,786.2911,7.597876,0.9738532,16.60885,0.2544851,12.21632,0.1908243,0.9581066,100.9926,0.00762703,19.51414,0.1548797,72.44002,14.42435,1.649962,2.278212,6.282492,10.09466,1182.74,0.4383026,1.194956,1013.692,2454.849,2.561166,2.50432,5.074227,313.6602,247.8398,12.06743,2.506187,0.7525254,0,0.5229166,7.450581e-09,0.3614056,21.04664,0.1344913,-73.06432,0,-2.523629,3.443257,329.2059,396.3034,17.43291,291.3727,268.7823,NAN,NAN,NAN,NAN,NAN,1285.661,89.73174,252.3476,128.2662,97.01404,900,99.29577,Kljun et al,201.5,-2.211439,0,247.8398,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 02:30:00.000000,5146,2019,9,27,2,30,0,0,201909270200,201909270230,5.870902,0.2583784,7,18000,-6.385899,7,-0.009361919,-0.00468096,7,18000,-2.400582,7,18000,0.06800709,1,0.3759192,0.2384163,0.00830033,0.4970444,0.02101178,428.3311,436.3616,2.331647,784.8107,4.37403,0.9740347,17.00068,0.1390486,12.51677,0.1059772,0.9582936,101.0193,0.01557635,19.19187,0.09623544,75.63293,14.78469,1.688688,2.232922,5.442334,10.47217,1183.9,0.4077832,1.196417,1013.918,2455.611,2.870996,2.807191,4.943173,312.6687,248.8313,12.07525,2.8082,0.7296028,0,0.5756376,7.450581e-09,0.3611231,20.75847,0.08533078,-76.87567,0,-2.789616,3.389205,324.4433,395.1401,17.21949,291.091,269.0516,NAN,NAN,NAN,NAN,NAN,438.6002,87.75919,257.063,127.1085,95.96346,900,97.94393,Kljun et al,201.5,-1.537496,0,248.8313,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 03:00:00.000000,5147,2019,9,27,3,0,0,0,201909270230,201909270300,6.21037,0.2733184,7,18000,0.6047778,8,0.0008864176,0.0004432088,8,18000,-1.971406,7,18000,0.02690318,1,-3.25972,0.1498575,0.0108305,0.227786,0.0586499,153.4529,435.5162,2.599189,784.3086,4.667089,0.9741389,16.99853,0.114372,12.53143,0.08157565,0.958422,101.0676,0.00862826,18.95188,0.07107054,76.79592,14.79029,1.689282,2.199735,5.10453,10.68199,1185.441,0.4208573,1.197972,1013.917,2456.179,2.5402,2.509917,4.207381,292.7997,268.7003,8.843979,2.511678,0.4995301,0,0.3850844,1.490116e-08,0.2403161,20.517,0.07399467,-74.60512,0,-2.492654,3.659079,325.0945,393.5478,16.92654,290.7524,269.2061,NAN,NAN,NAN,NAN,NAN,264.8266,129.0616,3792.093,519.3589,322.3999,900,69.23389,KormannMeixner,201.5,-2.140208,0,268.7003,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 03:30:00.000000,5148,2019,9,27,3,30,0,0,201909270300,201909270330,5.351565,0.2355224,1,18000,-1.466034,6,-0.002148578,-0.001074289,6,18000,-4.504837,1,18000,0.03815743,1,3.072806,0.1784233,0.02077677,0.2605236,0.08250438,109.0851,436.7216,2.274463,786.9517,4.129456,0.9741977,16.88157,0.1432551,12.45268,0.1038372,0.9585076,101.0873,0.004335136,18.86728,0.06320482,76.69566,14.68788,1.67818,2.188143,5.099629,10.54207,1186.152,0.3233059,1.198605,1013.849,2456.379,2.763416,2.732055,4.497422,293.4011,268.0989,8.628917,2.733444,0.5216171,0,0.4161215,1.490116e-08,0.2753285,20.42129,0.06377386,-72.6741,0,-2.116913,3.692234,326.3072,393.1721,16.8573,290.6629,269.3012,NAN,NAN,NAN,NAN,NAN,227.2664,114.1356,3737.832,480.5034,294.6811,900,70.55634,KormannMeixner,201.5,-1.829445,0,268.0989,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 04:00:00.000000,5149,2019,9,27,4,0,0,0,201909270330,201909270400,7.999093,0.3520401,4,18000,0.6342486,8,0.000929511,0.0004647555,8,18000,-6.766989,1,18000,0.04844033,1,-10.6693,0.2010079,0.02769862,0.2876509,0.08450425,106.5035,439.7223,3.628067,792.6093,6.614652,0.9741666,16.76052,0.1920654,12.3673,0.1418347,0.9585015,101.0971,0.004167852,18.83811,0.0831598,76.30394,14.57936,1.666505,2.18417,5.176647,10.31491,1186.527,0.275727,1.198894,1013.779,2456.448,2.679882,2.638064,4.631654,296.7346,264.7654,10.11843,2.638901,0.5223022,0,0.4694354,7.450581e-09,0.286588,20.38092,0.07463364,-72.94952,0,-2.352951,3.423364,325.7097,392.8829,16.80395,290.6738,269.3391,NAN,NAN,NAN,NAN,NAN,224.4603,92.11117,285.5002,136.0336,102.4267,900,95.98643,Kljun et al,201.5,-1.442223,0,264.7654,9,0,0,0,0,0.161041,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-27 04:30:00.000000,5150,2019,9,27,4,30,0,0,201909270400,201909270430,4.521902,0.1990089,7,18000,-14.73122,7,-0.02158491,-0.01079246,7,18000,-2.176872,7,18000,0.03343908,1,0.1477727,0.1669683,0.01071726,0.3114578,0.067305,133.7196,447.4928,1.975997,806.6248,3.63751,0.9741214,17.51101,0.2023321,12.92121,0.1478014,0.958474,101.1038,0.003000538,18.63901,0.07075678,80.66375,15.24886,1.739958,2.15714,4.171819,10.70776,1186.54,0.2928544,1.199461,1014.212,2456.919,2.350423,2.29154,4.948352,293.9175,267.5825,12.82056,2.292454,0.554424,0,0.5143236,0,0.2258336,20.24912,0.06531306,-73.35551,0,-2.340161,3.59935,324.6256,392.0416,16.64856,290.4011,269.3735,NAN,NAN,NAN,NAN,NAN,252.3515,99.14839,2998.597,403.894,249.8817,900,74.34214,KormannMeixner,201.5,-1.621408,0,267.5825,9,0,0,0,0,0.161041,9
